date,granularite,maille_code,maille_nom,cas_confirmes,cas_ehpad,cas_confirmes_ehpad,cas_possibles_ehpad,deces,deces_ehpad,reanimation,hospitalises,gueris,depistes,source_nom,source_url,source_archive,source_type,susceptible
2020-02-13,pays,FRA,France,11.0,,,,0.0,,1.0,8.0,3.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rrptk,,ministere-sante,66999986.0
2020-02-15,pays,FRA,France,12.0,,,,1.0,,,7.0,4.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rtvys,,ministere-sante,66999983.0
2020-02-19,pays,FRA,France,12.0,,,,1.0,,,4.0,7.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rzpgd,,ministere-sante,66999980.0
2020-02-21,pays,FRA,France,12.0,,,,1.0,,,1.0,10.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7s2l4u,,ministere-sante,66999977.0
2020-02-23,pays,FRA,France,12.0,,,,1.0,,,1.0,10.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7s4yks,,ministere-sante,66999977.0
2020-02-24,pays,FRA,France,12.0,,,,1.0,,,,11.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7s6c04,,ministere-sante,66999976.0
2020-02-25,pays,FRA,France,14.0,,,,1.0,,,2.0,11.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7s7wtl,,ministere-sante,66999974.0
2020-02-26,pays,FRA,France,18.0,,,,2.0,,,4.0,12.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7s9fw9,,ministere-sante,66999968.0
2020-02-27,pays,FRA,France,38.0,,,,2.0,,2.0,24.0,12.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7savbf,,ministere-sante,66999948.0
2020-02-29,pays,FRA,France,100.0,,,,2.0,,9.0,86.0,12.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7sd9sf,,ministere-sante,66999886.0
2020-03-01,pays,FRA,France,130.0,,,,2.0,,9.0,116.0,12.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7sedoy,,ministere-sante,66999856.0
2020-03-03,pays,FRA,France,212.0,,,,4.0,,,,12.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7sgicv,,ministere-sante,66999772.0
2020-03-17,pays,FRA,France,7730.0,,,,175.0,,699.0,2579.0,602.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7srn0c,,ministere-sante,66991493.0
